school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor,wee_class_raw,wee_class,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
480041714,사천고등학교,경남,사천시,경남,일반고,52517,경상남도 사천시 사천읍 동문로 95(사천읍.사천고등학교),597,48,0,,Y,1,236.0,8.0,244.0,3,0.40871021775544386,0.26608505997818976,0.12587653094369183,0.1959807954609408,2
480041760,삼천포여자고등학교,경남,사천시,경남,일반고,52560,경상남도 사천시 삼상로 19. 삼천포여자고등학교 (동금동),369,39,1,369.0,Y,1,297.6666666666667,0.0,297.6666666666667,3,0.8066847335140018,0.3246092330061796,0.24844662895298153,0.28652793097958057,2
480041732,삼천포고등학교,경남,사천시,경남,일반고,52551,경상남도 사천시 벌리6길 77(벌리동. 삼천포중고등학교),418,39,1,418.0,Y,1,28.0,0.0,28.0,3,0.06698564593301436,0.030534351145038167,0.02063056015427438,0.025582455649656274,2
480041330,신등고등학교,경남,산청군,경남,일반고,52253,경상남도 산청군 신등면 신등가회로 125(신등면. 신등중고등학교),12,13,0,,N,0,13.333333333333334,1.6666666666666667,15.0,3,1.25,0.016357688113413305,0.3849809885931559,0.2006693383532846,2
480041002,산청고등학교,경남,산청군,경남,일반고,52226,경상남도 산청군 산청읍 웅석봉로86번길 9-12(산청읍),323,43,1,323.0,Y,1,106.66666666666667,4.0,110.66666666666667,3,0.3426212590299278,0.12068338785896038,0.10552213681149866,0.11310276233522952,2
480041216,단성고등학교,경남,산청군,경남,일반고,52248,경상남도 산청군 단성면 강누방목로 2단성고등학교,95,18,0,,Y,1,218.0,3.0,221.0,3,2.3263157894736843,0.2410032715376227,0.7164698819291575,0.4787365767333901,2
480041240,덕산고등학교,경남,산청군,경남,일반고,52239,경상남도 산청군 시천면 남명로159번길 1. 덕산고등학교 (시천면),47,13,0,,N,0,44.666666666666664,46.333333333333336,91.0,3,1.9361702127659575,0.09923664122137404,0.5963109780762074,0.3477738096487907,2
480041350,양산고등학교,경남,양산시,경남,일반고,50617,경상남도 양산시 호국학도병길 2(북부동),907,74,1,907.0,Y,1,472.6666666666667,12.333333333333334,485.0,3,0.5347298787210585,0.5288985823336968,0.16468866987226516,0.346793626102981,2
480041789,양산여자고등학교,경남,양산시,경남,일반고,50593,경상남도 양산시 교동1길 21(교동),902,62,0,,Y,1,245.66666666666666,10.333333333333334,256.0,3,0.2838137472283814,0.2791712104689204,0.08741031758744824,0.18329076402818434,2
480041788,효암고등학교,경남,양산시,경남,일반고,50530,경상남도 양산시 서창로 144(삼호동. 효암고등학교.개운중학교),808,57,0,,Y,1,270.0,10.333333333333334,280.3333333333333,3,0.34694719471947194,0.30570701563067976,0.10685445921017957,0.20628073742042966,2
480041445,증산고등학교,경남,양산시,경남,일반고,50658,경상남도 양산시 물금읍 새실로 99증산고등학교,1151,83,1,1151.0,Y,1,310.0,59.0,369.0,3,0.3205907906168549,0.40239912758996726,0.09873708760443059,0.25056810759719894,2
480041938,서창고등학교,경남,양산시,경남,일반고,50527,경상남도 양산시 삼호동부로 125(삼호동. 서창고등학교),929,65,0,,Y,1,390.0,3.6666666666666665,393.6666666666667,3,0.4237531395766057,0.42929843693202474,0.1305095220749242,0.27990397950347445,2
480041355,양산남부고등학교,경남,양산시,경남,일반고,50630,경상남도 양산시 양주로 7(남부동),991,69,1,991.0,Y,1,266.0,7.666666666666667,273.6666666666667,3,0.2761520349815002,0.2984369320247183,0.08505062674335177,0.19174377938403506,2
480041786,양산제일고등학교,경남,양산시,경남,일반고,50593,경상남도 양산시 회현1길 36. 양산제일고등학교 (교동),684,52,1,684.0,Y,1,282.3333333333333,4.333333333333333,286.6666666666667,3,0.419103313840156,0.3126135950563432,0.12907744646788072,0.22084552076211195,2
480041415,웅상고등학교,경남,양산시,경남,일반고,50541,경상남도 양산시 배움터길 36(평산동),813,62,1,813.0,Y,1,460.6666666666667,20.333333333333332,481.0,3,0.5916359163591636,0.52453653217012,0.18221486397373476,0.35337569807192737,2
480041939,범어고등학교,경남,양산시,경남,일반고,50607,경상남도 양산시 물금읍 신주로 88(물금읍.범어고등학교),940,66,1,940.0,Y,1,261.3333333333333,0.0,261.3333333333333,3,0.2780141843971631,0.28498727735368956,0.08562414044171182,0.1853057088977007,2
480041936,물금고등학교,경남,양산시,경남,일반고,50605,경상남도 양산시 물금읍 신주1길 20(물금읍),996,75,1,996.0,Y,1,398.0,9.0,407.0,3,0.4086345381526104,0.44383860414394766,0.1258532227770397,0.2848459134604937,2
480041708,보광고등학교,경남,양산시,경남,일반고,50503,경상남도 양산시 하북면 신평로 46. 보광고등학교 (하북면),309,31,1,309.0,Y,1,554.6666666666666,15.666666666666666,570.3333333333334,3,1.8457389428263216,0.6219556524900037,0.5684595223153309,0.5952075874026673,2
480041410,의령고등학교,경남,의령군,경남,일반고,52146,경상남도 의령군 의령읍 백산로 3길 4의령고등학교,163,27,1,163.0,Y,1,132.0,0.6666666666666666,132.66666666666666,3,0.8139059304703475,0.14467466375863322,0.2506706477874454,0.19767265577303933,2
480041828,의령여자고등학교,경남,의령군,경남,일반고,52137,경상남도 의령군 가례면 의병로 67(가례면),189,24,0,,N,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2
480041420,진서고등학교,경남,진주시,경남,일반고,52645,경상남도 진주시 수곡면 옥수로 625(수곡면. 진서중고등학교),15,11,0,,N,0,1.0,0.0,1.0,3,0.06666666666666667,0.0010905125408942203,0.020532319391634978,0.0108114159662646,2
480041270,명신고등학교,경남,진주시,경남,일반고,52732,경상남도 진주시 대신로 614(초전동. 명신고등학교),657,55,0,,Y,1,267.6666666666667,3.6666666666666665,271.3333333333333,3,0.41298833079654995,0.29589240276263173,0.12719412469399446,0.2115432637283131,2
480041325,진주중앙고등학교,경남,진주시,경남,일반고,52762,경상남도 진주시 하대로 59(하대동.진주중앙고등학교),583,56,1,583.0,Y,1,369.3333333333333,8.666666666666666,378.0,3,0.6483704974271012,0.4122137404580153,0.1996882520592973,0.3059509962586563,2
480041050,경상국립대학교사범대학부설고등학교,경남,진주시,경남,일반고,52828,경상남도 진주시 가좌길29번길63 (가좌동),468,48,0,,Y,1,222.0,2.0,224.0,3,0.47863247863247865,0.24427480916030533,0.14741152383737935,0.19584316649884234,2
480041638,진주외국어고등학교,경남,진주시,경남,일반고,52616,경상남도 진주시 일반성면 동부로 2014-6(일반성면. 진주외국어고등학교),162,23,0,,Y,1,499.0,27.0,526.0,3,3.246913580246914,0.5736095965103599,1.0,0.78680479825518,2
480041450,진주여자고등학교,경남,진주시,경남,일반고,52746,경상남도 진주시 창렬로 185(상봉동),658,58,1,658.0,Y,1,372.0,1.6666666666666667,373.6666666666667,3,0.5678824721377913,0.40748818611414034,0.17489916442266576,0.29119367526840306,2
