school_name,sigungu,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
창원사파고등학교,창원시,427.0,6.333333333333333,433.3333333333333,3,0.8253968253968254,0.4725554343874954,0.25420966865833783,0.36338255152291665,2
성지여자고등학교,창원시,397.3333333333333,4.666666666666667,402.0,3,0.9115646258503401,0.43838604143947657,0.28074804066113135,0.35956704105030396,2
마산여자고등학교,창원시,275.3333333333333,4.333333333333333,279.6666666666667,3,0.5388567758509956,0.3049800072700836,0.16595969142178948,0.23546984934593657,2
창원경일고등학교,창원시,324.0,15.333333333333334,339.3333333333333,3,0.7204529370134465,0.3700472555434387,0.22188854714102343,0.29596790134223105,2
창원고등학교,창원시,76.66666666666667,1.0,77.66666666666667,3,0.1311936936936937,0.08469647400945111,0.04040566231630871,0.06255106816287992,2
충렬여자고등학교,통영시,152.66666666666666,5.666666666666667,158.33333333333334,3,0.3129117259552042,0.17266448564158487,0.09637205248050015,0.13451826906104253,2
동원고등학교,통영시,227.66666666666666,25.333333333333332,253.0,3,0.2990543735224586,0.27589967284623773,0.09210419868942642,0.18400193576783208,2
통영여자고등학교,통영시,657.3333333333334,25.333333333333332,682.6666666666666,3,0.9326047358834244,0.7444565612504543,0.2872280745496478,0.5158423179000511,2
통영고등학교,통영시,213.66666666666666,0.3333333333333333,214.0,3,0.24153498871331827,0.23336968375136313,0.074389102987752,0.15387939336955758,2
충무고등학교,통영시,886.3333333333334,30.666666666666668,917.0,3,1.8015717092337917,1.0,0.5548566861138293,0.7774283430569147,2
금남고등학교,하동군,228.33333333333334,10.333333333333334,238.66666666666666,3,2.512280701754386,0.26026899309342055,0.7737442465479286,0.5170066198206746,2
옥종고등학교,하동군,51.333333333333336,4.0,55.333333333333336,3,1.2868217054263567,0.06034169392948019,0.3963215138385357,0.22833160388400794,2
하동고등학교,하동군,291.6666666666667,11.333333333333334,303.0,3,1.5699481865284974,0.33042529989094876,0.48352016391181857,0.40697273190138367,2
진교고등학교,하동군,39.666666666666664,62.333333333333336,102.0,3,1.36,0.11123227917121047,0.41885931558935363,0.26504579738028206,2
하동여자고등학교,하동군,163.0,3.3333333333333335,166.33333333333334,3,1.0731182795698926,0.18138858596873866,0.3305041089169631,0.2559463474428509,2
함안고등학교,함안군,326.3333333333333,42.0,368.3333333333333,3,0.8875502008032128,0.4016721192293711,0.2733519629850199,0.3375120411071955,2
군북고등학교,함안군,302.3333333333333,13.333333333333334,315.6666666666667,3,2.090507726269316,0.34423845874227554,0.6438445848966334,0.4940415218194545,2
칠원고등학교,함안군,148.66666666666666,79.33333333333333,228.0,3,0.608,0.24863685932388221,0.187254752851711,0.21794580608779662,2
명덕고등학교,함안군,379.0,9.0,388.0,3,1.0991501416430596,0.42311886586695746,0.3385215265136419,0.3808201961902997,2
서상고등학교,함양군,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2
함양고등학교,함양군,206.33333333333334,3.3333333333333335,209.66666666666666,3,0.6572622779519331,0.22864412940748818,0.20242678522473986,0.215535457316114,2
안의고등학교,함양군,206.0,26.0,232.0,3,2.128440366972477,0.2529989094874591,0.655527261310915,0.454263085399187,2
야로고등학교,합천군,62.333333333333336,31.0,93.33333333333333,3,1.3145539906103285,0.10178117048346055,0.40486263589139393,0.25332190318742726,2
삼가고등학교,합천군,73.66666666666667,7.666666666666667,81.33333333333333,3,0.8299319727891156,0.08869501999272991,0.25560642507953746,0.17215072253613367,2
합천여자고등학교,합천군,281.0,22.666666666666668,303.6666666666667,3,1.5107794361525706,0.3311523082515449,0.4652970887009818,0.39822469847626335,2
합천고등학교,합천군,305.3333333333333,7.333333333333333,312.6666666666667,3,1.7969348659003832,0.34096692111959287,0.5534286088894717,0.44719776500453223,2
